# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.000000e+00
# Aref        : 7.591940e+03
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
67            	-1.843309e-01	4.008464e-01	-1.283929e-01	-2.485273e-01	1.201344e-01
68            	-1.258381e-01	4.028516e-01	-1.359461e-01	-1.938111e-01	5.786503e-02
69            	-7.646458e-02	4.051123e-01	-1.425753e-01	-1.477522e-01	5.176923e-03
70            	-4.417669e-02	4.070775e-01	-1.482866e-01	-1.183200e-01	-2.996662e-02
71            	-3.419316e-02	4.086825e-01	-1.532447e-01	-1.108155e-01	-4.242919e-02
72            	-4.723497e-02	4.098562e-01	-1.577076e-01	-1.260888e-01	-3.161885e-02
73            	-8.268209e-02	4.106420e-01	-1.619656e-01	-1.636649e-01	1.699288e-03
74            	-1.373349e-01	4.110718e-01	-1.661765e-01	-2.204232e-01	5.424670e-02
75            	-2.055736e-01	4.112069e-01	-1.704212e-01	-2.907842e-01	1.203630e-01
76            	-2.809654e-01	4.111083e-01	-1.746847e-01	-3.683077e-01	1.936231e-01
77            	-3.572399e-01	4.108555e-01	-1.789132e-01	-4.466965e-01	2.677833e-01
78            	-4.289241e-01	4.105440e-01	-1.830703e-01	-5.204592e-01	3.373890e-01
79            	-4.918690e-01	4.102520e-01	-1.871680e-01	-5.854530e-01	3.982850e-01
80            	-5.439209e-01	4.100343e-01	-1.912949e-01	-6.395684e-01	4.482735e-01
81            	-5.837816e-01	4.099266e-01	-1.955632e-01	-6.815632e-01	4.860000e-01
82            	-6.123310e-01	4.099460e-01	-2.002092e-01	-7.124355e-01	5.122264e-01
83            	-6.305034e-01	4.101574e-01	-2.052914e-01	-7.331491e-01	5.278577e-01
84            	-6.394625e-01	4.107638e-01	-2.105833e-01	-7.447541e-01	5.341708e-01
85            	-6.425311e-01	4.115598e-01	-2.159548e-01	-7.505085e-01	5.345537e-01
86            	-6.420540e-01	4.124436e-01	-2.213065e-01	-7.527072e-01	5.314007e-01
87            	-6.393160e-01	4.132235e-01	-2.264552e-01	-7.525436e-01	5.260885e-01
88            	-6.345377e-01	4.138064e-01	-2.314985e-01	-7.502869e-01	5.187884e-01
89            	-6.278389e-01	4.140028e-01	-2.365805e-01	-7.461292e-01	5.095487e-01
90            	-6.192730e-01	4.139787e-01	-2.417031e-01	-7.401245e-01	4.984214e-01
91            	-6.095286e-01	4.137404e-01	-2.468667e-01	-7.329619e-01	4.860952e-01
92            	-5.997840e-01	4.133495e-01	-2.520783e-01	-7.258231e-01	4.737449e-01
93            	-5.920829e-01	4.128813e-01	-2.572508e-01	-7.207083e-01	4.634575e-01
94            	-5.892640e-01	4.124076e-01	-2.621763e-01	-7.203522e-01	4.581758e-01
95            	-5.941358e-01	4.120268e-01	-2.666758e-01	-7.274736e-01	4.607979e-01
96            	-6.087095e-01	4.118239e-01	-2.706078e-01	-7.440135e-01	4.734056e-01
97            	-6.340661e-01	4.118854e-01	-2.738947e-01	-7.710134e-01	4.971188e-01
98            	-6.697767e-01	4.122206e-01	-2.764669e-01	-8.080101e-01	5.315432e-01
99            	-7.151540e-01	4.127332e-01	-2.784276e-01	-8.543678e-01	5.759402e-01
100           	-7.672586e-01	4.133677e-01	-2.798917e-01	-9.072045e-01	6.273127e-01
101           	-8.226790e-01	4.139955e-01	-2.810848e-01	-9.632214e-01	6.821366e-01
102           	-8.747946e-01	4.145957e-01	-2.821669e-01	-1.015878e+00	7.337112e-01
103           	-9.188342e-01	4.151085e-01	-2.833540e-01	-1.060511e+00	7.771571e-01
104           	-9.515414e-01	4.155027e-01	-2.848349e-01	-1.093959e+00	8.091240e-01
105           	-9.712032e-01	4.157564e-01	-2.867565e-01	-1.114581e+00	8.278250e-01
106           	-9.773665e-01	4.158369e-01	-2.892029e-01	-1.121968e+00	8.327651e-01
107           	-9.709099e-01	4.158099e-01	-2.922189e-01	-1.117019e+00	8.248004e-01
108           	-9.538492e-01	4.157318e-01	-2.958328e-01	-1.101766e+00	8.059328e-01
109           	-9.285158e-01	4.156473e-01	-2.999316e-01	-1.078482e+00	7.785500e-01
110           	-8.976517e-01	4.156020e-01	-3.044239e-01	-1.049864e+00	7.454397e-01
111           	-8.631321e-01	4.156529e-01	-3.092188e-01	-1.017741e+00	7.085227e-01
112           	-8.261320e-01	4.157640e-01	-3.142425e-01	-9.832533e-01	6.690107e-01
113           	-7.878772e-01	4.159286e-01	-3.194340e-01	-9.475942e-01	6.281602e-01
114           	-7.492187e-01	4.161328e-01	-3.247515e-01	-9.115945e-01	5.868429e-01
115           	-7.113257e-01	4.163301e-01	-3.301526e-01	-8.764020e-01	5.462494e-01
116           	-6.763197e-01	4.165699e-01	-3.355733e-01	-8.441064e-01	5.085331e-01
117           	-6.466836e-01	4.168587e-01	-3.409515e-01	-8.171593e-01	4.762078e-01
118           	-6.251310e-01	4.171940e-01	-3.462162e-01	-7.982391e-01	4.520228e-01
119           	-6.133477e-01	4.175617e-01	-3.513483e-01	-7.890219e-01	4.376736e-01
120           	-6.125450e-01	4.179563e-01	-3.563492e-01	-7.907196e-01	4.343705e-01
121           	-6.235360e-01	4.183867e-01	-3.612167e-01	-8.041444e-01	4.429277e-01
122           	-6.463492e-01	4.188694e-01	-3.659186e-01	-8.293085e-01	4.633899e-01
123           	-6.800214e-01	4.194511e-01	-3.705201e-01	-8.652815e-01	4.947613e-01
124           	-7.220792e-01	4.201317e-01	-3.750207e-01	-9.095895e-01	5.345688e-01
125           	-7.687104e-01	4.209008e-01	-3.795059e-01	-9.584634e-01	5.789575e-01
126           	-8.155433e-01	4.217095e-01	-3.840236e-01	-1.007555e+00	6.235315e-01
127           	-8.586793e-01	4.225086e-01	-3.886198e-01	-1.052989e+00	6.643694e-01
128           	-8.951516e-01	4.232804e-01	-3.933773e-01	-1.091840e+00	6.984630e-01
129           	-9.228808e-01	4.240158e-01	-3.983332e-01	-1.122047e+00	7.237142e-01
130           	-9.405188e-01	4.246966e-01	-4.034773e-01	-1.142257e+00	7.387801e-01
131           	-9.479391e-01	4.253105e-01	-4.088031e-01	-1.152341e+00	7.435375e-01
132           	-9.457517e-01	4.258722e-01	-4.143521e-01	-1.152928e+00	7.385756e-01
133           	-9.354215e-01	4.264034e-01	-4.200906e-01	-1.145467e+00	7.253762e-01
134           	-9.189181e-01	4.269305e-01	-4.259497e-01	-1.131893e+00	7.059433e-01
135           	-8.982479e-01	4.274798e-01	-4.318472e-01	-1.114172e+00	6.823244e-01
136           	-8.750705e-01	4.280543e-01	-4.377227e-01	-1.093932e+00	6.562091e-01
137           	-8.506852e-01	4.286373e-01	-4.435504e-01	-1.072460e+00	6.289100e-01
138           	-8.262063e-01	4.291985e-01	-4.493253e-01	-1.050869e+00	6.015437e-01
139           	-8.025662e-01	4.297165e-01	-4.550508e-01	-1.030092e+00	5.750408e-01
140           	-7.808056e-01	4.301892e-01	-4.607034e-01	-1.011157e+00	5.504539e-01
141           	-7.620224e-01	4.306306e-01	-4.662523e-01	-9.951485e-01	5.288962e-01
142           	-7.472774e-01	4.310563e-01	-4.716615e-01	-9.831081e-01	5.114467e-01
143           	-7.371801e-01	4.314829e-01	-4.769302e-01	-9.756452e-01	4.987150e-01
144           	-7.323527e-01	4.318967e-01	-4.820015e-01	-9.733534e-01	4.913519e-01
145           	-7.330736e-01	4.322935e-01	-4.868652e-01	-9.765063e-01	4.896410e-01
146           	-7.391227e-01	4.326691e-01	-4.915303e-01	-9.848878e-01	4.933575e-01
147           	-7.499528e-01	4.330211e-01	-4.960166e-01	-9.979611e-01	5.019445e-01
148           	-7.645366e-01	4.333460e-01	-5.003542e-01	-1.014714e+00	5.143595e-01
149           	-7.815891e-01	4.336704e-01	-5.046022e-01	-1.033890e+00	5.292880e-01
150           	-7.998253e-01	4.339447e-01	-5.087717e-01	-1.054211e+00	5.454395e-01
151           	-8.178854e-01	4.341972e-01	-5.128655e-01	-1.074318e+00	5.614526e-01
152           	-8.345642e-01	4.343602e-01	-5.169369e-01	-1.093033e+00	5.760958e-01
153           	-8.488907e-01	4.343729e-01	-5.210573e-01	-1.109419e+00	5.883620e-01
154           	-8.597497e-01	4.342911e-01	-5.252323e-01	-1.122366e+00	5.971336e-01
155           	-8.663116e-01	4.341293e-01	-5.294713e-01	-1.131047e+00	6.015760e-01
156           	-8.679686e-01	4.339996e-01	-5.336691e-01	-1.134803e+00	6.011340e-01
157           	-8.647886e-01	4.337354e-01	-5.379813e-01	-1.133779e+00	5.957980e-01
158           	-8.566511e-01	4.334576e-01	-5.422822e-01	-1.127792e+00	5.855100e-01
159           	-8.438893e-01	4.331915e-01	-5.465413e-01	-1.117160e+00	5.706186e-01
160           	-8.271599e-01	4.329518e-01	-5.507422e-01	-1.102531e+00	5.517888e-01
161           	-8.072684e-01	4.327453e-01	-5.548722e-01	-1.084705e+00	5.298324e-01
162           	-7.851412e-01	4.325741e-01	-5.589061e-01	-1.064594e+00	5.056882e-01
163           	-7.615803e-01	4.324367e-01	-5.628175e-01	-1.042989e+00	4.801715e-01
164           	-7.374182e-01	4.323305e-01	-5.665823e-01	-1.020709e+00	4.541271e-01
165           	-7.133786e-01	4.322537e-01	-5.701837e-01	-9.984704e-01	4.282868e-01
166           	-6.900960e-01	4.322079e-01	-5.736200e-01	-9.769060e-01	4.032860e-01
167           	-6.680722e-01	4.321689e-01	-5.768915e-01	-9.565180e-01	3.796265e-01
168           	-6.474311e-01	4.321702e-01	-5.800266e-01	-9.374444e-01	3.574179e-01
169           	-6.280364e-01	4.322152e-01	-5.830411e-01	-9.195569e-01	3.365158e-01
170           	-6.098843e-01	4.323040e-01	-5.859425e-01	-9.028556e-01	3.169131e-01
171           	-5.929542e-01	4.324386e-01	-5.887366e-01	-8.873225e-01	2.985859e-01
172           	-5.772120e-01	4.326181e-01	-5.914280e-01	-8.729260e-01	2.814980e-01
173           	-5.626475e-01	4.328383e-01	-5.940228e-01	-8.596589e-01	2.656361e-01
174           	-5.492429e-01	4.330832e-01	-5.965087e-01	-8.474972e-01	2.509885e-01
175           	-5.372023e-01	4.333346e-01	-5.988865e-01	-8.366456e-01	2.377591e-01
176           	-5.263434e-01	4.335973e-01	-6.012115e-01	-8.269492e-01	2.257377e-01
177           	-5.166442e-01	4.338639e-01	-6.034969e-01	-8.183926e-01	2.148958e-01
178           	-5.081205e-01	4.341266e-01	-6.057445e-01	-8.109927e-01	2.052483e-01
179           	-5.007367e-01	4.343812e-01	-6.079488e-01	-8.047111e-01	1.967623e-01
180           	-4.945939e-01	4.346236e-01	-6.100973e-01	-7.996425e-01	1.895452e-01
181           	-4.896118e-01	4.348529e-01	-6.121720e-01	-7.956978e-01	1.835258e-01
182           	-4.856158e-01	4.350698e-01	-6.141574e-01	-7.926945e-01	1.785371e-01
183           	-4.826685e-01	4.352774e-01	-6.160433e-01	-7.906902e-01	1.746469e-01
184           	-4.811418e-01	4.354799e-01	-6.178229e-01	-7.900533e-01	1.722303e-01
185           	-4.816292e-01	4.356811e-01	-6.194843e-01	-7.913714e-01	1.718871e-01
186           	-4.851146e-01	4.358816e-01	-6.210087e-01	-7.956189e-01	1.746103e-01
187           	-4.924724e-01	4.360799e-01	-6.223799e-01	-8.036624e-01	1.812824e-01
188           	-5.044684e-01	4.362717e-01	-6.235830e-01	-8.162599e-01	1.926769e-01
189           	-5.216512e-01	4.364547e-01	-6.246097e-01	-8.339561e-01	2.093464e-01
190           	-5.441843e-01	4.366284e-01	-6.254560e-01	-8.569123e-01	2.314563e-01
191           	-5.720282e-01	4.367951e-01	-6.261204e-01	-8.850884e-01	2.589680e-01
192           	-6.048807e-01	4.369594e-01	-6.266054e-01	-9.181834e-01	2.915780e-01
193           	-6.427481e-01	4.371451e-01	-6.269089e-01	-9.562025e-01	3.292936e-01
194           	-6.849477e-01	4.373397e-01	-6.270231e-01	-9.984593e-01	3.714362e-01
195           	-7.312971e-01	4.375737e-01	-6.269301e-01	-1.044762e+00	4.178321e-01
196           	-7.809003e-01	4.378233e-01	-6.266305e-01	-1.094216e+00	4.675851e-01
197           	-8.328878e-01	4.380860e-01	-6.261224e-01	-1.145949e+00	5.198266e-01
198           	-8.863682e-01	4.383780e-01	-6.254027e-01	-1.199070e+00	5.736669e-01
199           	-9.409889e-01	4.386705e-01	-6.244756e-01	-1.253227e+00	6.287511e-01
200           	-9.964203e-01	4.389542e-01	-6.233425e-01	-1.308092e+00	6.847490e-01
201           	-1.052308e+00	4.392207e-01	-6.220015e-01	-1.363309e+00	7.413076e-01
202           	-1.107975e+00	4.394635e-01	-6.204542e-01	-1.418202e+00	7.977481e-01
203           	-1.162510e+00	4.396804e-01	-6.187063e-01	-1.471864e+00	8.531572e-01
204           	-1.214204e+00	4.398716e-01	-6.167823e-01	-1.522596e+00	9.058133e-01
205           	-1.260985e+00	4.400391e-01	-6.147174e-01	-1.568344e+00	9.536263e-01
206           	-1.301079e+00	4.401867e-01	-6.125499e-01	-1.607354e+00	9.948042e-01
207           	-1.333014e+00	4.403193e-01	-6.103173e-01	-1.638172e+00	1.027855e+00
208           	-1.355626e+00	4.404407e-01	-6.080561e-01	-1.659654e+00	1.051598e+00
209           	-1.368165e+00	4.405574e-01	-6.057889e-01	-1.671060e+00	1.065271e+00
210           	-1.370653e+00	4.406617e-01	-6.035589e-01	-1.672432e+00	1.068873e+00
211           	-1.363505e+00	4.407620e-01	-6.014091e-01	-1.664209e+00	1.062800e+00
212           	-1.347376e+00	4.408363e-01	-5.993376e-01	-1.647045e+00	1.047707e+00
213           	-1.323151e+00	4.408672e-01	-5.973288e-01	-1.621816e+00	1.024487e+00
214           	-1.292046e+00	4.408804e-01	-5.953582e-01	-1.589725e+00	9.943670e-01
215           	-1.254768e+00	4.408726e-01	-5.934188e-01	-1.551478e+00	9.580589e-01
216           	-1.211894e+00	4.408505e-01	-5.914880e-01	-1.507638e+00	9.161496e-01
217           	-1.163968e+00	4.408249e-01	-5.895480e-01	-1.458742e+00	8.691939e-01
218           	-1.111815e+00	4.408060e-01	-5.875824e-01	-1.405606e+00	8.180236e-01
